#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
kkyltq1n77djik732kkylhfdsp8r2prd,10005846,Paul,0,5,5,5,,completed,24/04/2023 10:09,,24/04/2023 10:10,f0f0240483
ajmqvnwkvxi2hdfimpajmqvmpsaha41w,10006192,Paul,1,5,5,5,everything was fine,completed,24/04/2023 09:52,,24/04/2023 09:53,f0f0240483
g27mg91k0c61eikg27bl8f5zvslmhd8t,10005705,Paul,1,3,2,2,No,completed,24/04/2023 09:49,,24/04/2023 09:50,f0f0240483
ecwhnl0czn8pfi8a6ecwt40fs6ps32bv,10006029,Daniel,1,5,5,5,Yes,completed,24/04/2023 09:42,,24/04/2023 09:43,f0f0240483
1zet0xiglh7z5xz0bstct8u1zet0xig2,10005993,Anthony,1,4,4,5,"Unhappy with talk talk customer service, it is non excitant, i get cut off time and time again, ive gotten nowhere, if it wasn't for the fact of installing the old broadband id have no broadband today. looking to move somewhere else once contract has ended as they have made no effort to sort this out",completed,24/04/2023 09:29,,24/04/2023 09:35,f0f0240483
o0wybmvybpkur5d3vogxho0w7xjg1lhr,10005750,Mark,1,5,4,5,with regards to the speed its for the kids i don't use it,completed,24/04/2023 09:18,,24/04/2023 09:20,f0f0240483
34oqip5fvrz3zq34ocl7y5lxtct52cuk,10005457,Brandon,1,5,3,5,not noticed a difference in speed,completed,24/04/2023 09:15,,24/04/2023 09:17,f0f0240483
t7ggntqnpand1o1rt7ggzd5zysvb08nz,10006249,Callum,1,5,5,5,The engineer needed help from college and went to his his colleague  and came back didn't give any notice and was a it confused,completed,22/04/2023 13:45,,22/04/2023 13:48,f0f0240483
xhkdgzxu6hlnv7eghrrxhkdgzx35np55,10006247,Brandon,1,5,5,5,They moved some stuff to get to the walls and didn't move it back,completed,22/04/2023 13:42,,22/04/2023 13:43,f0f0240483
h1714ujvfj3hdwhe1h1714r32cgpxm0s,10006248,Brandon,0,5,5,5,very positive about the work that was done,completed,22/04/2023 13:39,,22/04/2023 13:41,f0f0240483
8b3p79kpid3khebkyfw38b3p797nqela,10006048,Mark,1,5,5,5,Happy with everything,completed,22/04/2023 13:33,,22/04/2023 13:33,f0f0240483
jgv9rmcwozner5ub0rsjgv9rmepz6xj4,10006609,Mark,1,5,4,5,"Have old hub, the first initial day was cancelled due to a blockage. customer service was really helpful arraign another time to come  and do install.",completed,22/04/2023 13:28,,22/04/2023 13:30,f0f0240483
g4ycll2agxw8ocir9pg4ycll3qy4h5i9,10006081,Anthony,1,5,5,5,n/a,completed,22/04/2023 13:20,,22/04/2023 13:22,f0f0240483
cp8l08b8ynh0idcp8fzb3l3yxlptd2b6,10006080,Callum,1,5,5,5,it was good,completed,22/04/2023 13:17,,22/04/2023 13:19,f0f0240483
dw2ymbr6x0xazow6e6b2dw2ymbr9o9r2,10006185,Paul,1,5,5,5,n/a,completed,22/04/2023 12:12,,22/04/2023 12:15,f0f0240483
go82c35cknq1gyksago82c3kum74cw61,10006001,Anthony,1,4,4,4,N/a,completed,22/04/2023 12:10,,22/04/2023 12:12,f0f0240483
24sfdx1yh1nws69ac24sfded53l8gvj6,10006027,Daniel  ,1,5,5,5,there were some delays and took longer than they said but that's because there a separate company working on the manhole so a bit of a bottleneck to do it,completed,22/04/2023 11:49,,22/04/2023 11:50,f0f0240483
20w6279wwkmkk58mt6eq20w627b30vsy,10006028,Anthony,1,5,1,3,"Had the install done on Tuesday and internet worked fine, then on the wed the electric went and when it went back on the broadband stopped working and now have to wait 3 days for a new router.",completed,22/04/2023 11:41,,22/04/2023 11:44,f0f0240483
