#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
96fd4dqedhhj07b2ojf96fd4dq389y18,10004846,Keiron,1,5,5,4,"Broadband keeps going off, Engineer was fine",completed,14/02/2023 09:35,,14/02/2023 09:39,f0f0240483
6xumgglf3uwmnqsnye9d6xumgko3s2ii,10004845,Paul,1,5,5,5,"The only problem I have is where he installed the box, he installed it in the kitchen but would prefer it in the living room but he said he couldn't go all around the house.",completed,14/02/2023 09:30,,14/02/2023 09:33,f0f0240483
ih8f2ky7aigclown5piih8f2eenbmz5o,10004843,Daniel,1,5,5,5,"They were top notch , they were brilliant, very presentable, very polite, couldn't of asked for better",completed,13/02/2023 15:53,,13/02/2023 15:55,f0f0240483
0ksc0kh06lpo2s8jmo0ksc0kxmsy5vn0,10004856,Brandon,1,5,5,5,Very present man,completed,13/02/2023 15:46,,13/02/2023 15:48,f0f0240483
dl0y2paqbdgclplsdl0aca58xaha7lih,13683005,Mark,1,5,5,5,the boys were fantastic can fault them.,completed,07/02/2023 16:22,,07/02/2023 16:23,737d2a4757
j66bi2eju8hmq3ss09or7j66bi2e6m2e,13677229,Callum,1,5,5,5,everything is working fine and engineers and install was brilliant.,completed,07/02/2023 16:18,,07/02/2023 16:19,737d2a4757
6o6tw5xv5g0k1gl06o6kuutdals8e6mo,13887901,Daniel,1,5,5,5,everything is fine and working great,completed,07/02/2023 15:50,,07/02/2023 15:51,737d2a4757
cb2zucgfkyq55lacb2zuahwrlilhxtgy,10004833,Keiron,1,5,5,5,"the boys were excellent , cant fault them",completed,01/02/2023 18:39,,01/02/2023 18:54,737d2a4757
lay5el2s2wcyutoskilay5el7nzz3t0h,10004831,Paul,1,5,5,5,"Brilliant, good worker nice guy and polite.",completed,01/02/2023 09:44,,01/02/2023 09:46,3d7c9ea67c
env8eqhguy8qytiby24yanenv8eqhgco,10004832,Keiron,0,4,4,4,"No shoe covers where put on on when coming into the house, other than that they were very good.",completed,01/02/2023 09:40,,01/02/2023 09:42,3d7c9ea67c
m222cxyfkfqycvdv5em222csimq501ll,10004839,Keiron,1,5,5,5,N/a,completed,01/02/2023 09:34,,01/02/2023 09:39,3d7c9ea67c
9vbzc7cb5m49o6v4dg9vbzcv3nantz7s,10004936,Callum,1,4,3,4,"Mostly it went very smoothly and did what they said they were going to do, if they had a closer look together at the system that was left so we knew what was what i might be able to re-order the wires. but that's neither here or there.",completed,31/01/2023 14:17,,31/01/2023 14:19,3d7c9ea67c
n6pgp4ehrkos822agty5n6pgp4epa38b,10004937,Keiron,1,5,5,5,"The only thing I would say is, the fitter who came was very polite, very informative and couldn't of had a better experience",completed,31/01/2023 09:52,,31/01/2023 09:54,3d7c9ea67c
fc10m5hyo6hsfqmte7yfc10m55ye8fy4,10004934,Keiron,1,5,5,5,Very polite and Good,completed,31/01/2023 09:42,,31/01/2023 09:45,3d7c9ea67c
34ebk2t32kslxoa34ebrw0chtxdtfov9,10004942,Daniel,1,5,1,5,"The guys came, they did a good job and very friendly, system was working until just before they left, WIFI is still on cooper wire as the Fibre to premises isn't working",completed,31/01/2023 09:35,,31/01/2023 09:40,3d7c9ea67c
ac7r0d5wyfhyqohqzoac7rd4xwuhf7z6,10004938,Mark,1,5,4,5,"They were very good, came went left everything tidy, very efficient.",completed,31/01/2023 09:28,,31/01/2023 09:30,3d7c9ea67c
uyq7ms55uwygly18lrktuyq7dyyat8di,10004660,Callum,1,5,5,5,"Callum w as really good, nice bloke to speak to really good service.",completed,27/01/2023 12:54,,27/01/2023 12:55,3d7c9ea67c
u448efcqj5bsfmqycu448ef0rppctvsy,10004806,Anthony,1,5,5,5,"Thought they were very good, didn't get sent a router before hand",completed,26/01/2023 09:32,,26/01/2023 09:34,3d7c9ea67c
px7imae0ozd5qtnbev2px7i92x658sl7,10004646,Callum,1,5,5,5,"Very profession very clean good first class job, the speed is very quick.",completed,24/01/2023 14:12,,24/01/2023 14:15,3d7c9ea67c
az8qhn8ma5qv58856h18az88zp8olmp9,10004974,Keiron,1,5,3,5,No Comments,completed,24/01/2023 14:05,,24/01/2023 14:07,3d7c9ea67c
53b0q8tz2ox7oxiob72m02f53b0q8hej,10004759,Mark,1,5,5,3,Engineer was really efficient,completed,24/01/2023 11:37,,24/01/2023 11:40,3d7c9ea67c
7nqdc81fs9rqdj7b7nqd7xunlk6e10a7,10004808,Anthony,0,5,5,4,No comments,completed,24/01/2023 11:26,,24/01/2023 11:28,3d7c9ea67c
cp7v8v2rutzfmiap6jwp7ncp7v8vwt8i,10004800,Callum,0,5,5,5,Engineer was a really really nice bloke.,completed,20/01/2023 13:05,,20/01/2023 13:07,56306ffa9c
t6ie0mcke1t91t6iz0by2j3ks9tmt58f,10004800,Mark,1,5,5,5,Everything Was good thanks,completed,20/01/2023 13:02,,20/01/2023 13:04,56306ffa9c
syyb5hs8oon4hvvc4syyb58pyargbp17,10004804,Mark,1,5,5,5,"was delighted,",completed,18/01/2023 14:18,,18/01/2023 14:21,56306ffa9c
zork7970bouxaryq5q7xzork79fsqrsz,10004736,Callum,1,5,5,5,"Callum was brilliant, explained what he was doing as he was doing it, very patient and respectful, brilliant guy",completed,17/01/2023 10:50,,17/01/2023 10:52,56306ffa9c
vwh6ntmrtpp9tbmdy9novsovwh6ntm4e,10004627,Mark,1,5,5,5,"Would of preferred a white box or to be given the choice, Very present and efficient team.",completed,17/01/2023 10:43,,17/01/2023 10:46,56306ffa9c
prolnw11us85tvhugddjprolnweh3sle,10004767,Callum,1,5,5,5,Two chaps that arrived were lovely chaps and very friendly and cleaned up after themselves very good workers,completed,16/01/2023 14:23,,16/01/2023 14:25,56306ffa9c
mastflusx508icmastf6k5vf8vtvtz29,10004803,Mark,1,4,1,3,The Staff were friendly but the line wasn't working,completed,16/01/2023 11:23,,16/01/2023 11:26,56306ffa9c
ns1th2rayf2a5b6qfns1th201vfrp2f0,10004801,Paul,1,2,2,2,N/a,completed,16/01/2023 11:12,,16/01/2023 11:14,56306ffa9c
8sratrsjqq9b9jq8sgvy0jfut28qy4de,10004785,Paul,1,5,5,5,N/A,completed,11/01/2023 10:28,,11/01/2023 10:31,56306ffa9c
suv7de4jgawltlguj771nsuv7de3eh2l,10004758,Paul,1,5,5,5,"Very polite, smashing, great job",completed,10/01/2023 14:23,,10/01/2023 14:24,56306ffa9c
gcfuk9240vmypnr68gp0e0hi41b3sbi5,10004689,Callum,1,5,5,5,"They were brilliant, friendly, would wish for any better service",completed,07/01/2023 13:41,,07/01/2023 13:44,56306ffa9c
tagdtyn527d9h9yatagj5pywj4vn8x4j,10004667,Callum,1,5,5,5,"only fault that comes from it was engineer called and asked if everything was okay, had issues with engineers to begin with as confusion with the hub and had to be reconfigured.",completed,06/01/2023 09:42,,06/01/2023 09:49,56306ffa9c
3zzjfx58ujxyd3jr99f3zzjfydqk0e3w,10004775,Anthony,1,5,5,5,Quick simple and easy,completed,06/01/2023 09:34,,06/01/2023 09:35,56306ffa9c
1ypkyaidl7ynywnsyw5lc1ypkyakddpu,110004644,Keiron,1,4,2,3,"Cannot get onto The ipad, and doesn't know who to contact about this.",completed,04/01/2023 11:53,,04/01/2023 11:56,56306ffa9c
4werixuuhtgwb6ufy6z4werixuzck6ne,110004503,Mark,1,5,4,3,N/a,completed,04/01/2023 11:49,,04/01/2023 11:50,56306ffa9c
z31yhit6a8nnjqnfgde3oz31yhimx15z,110004690,Callum,1,5,5,5,N/a,completed,04/01/2023 11:46,,04/01/2023 11:47,56306ffa9c
582evutkh96on089lzo4582evq0742xo,10004685,Brandon,,5,5,5,"When I was first offered fibre, was told by talk talk would be no charge and to find out in six moths time it will go up in price",completed,03/01/2023 14:21,,03/01/2023 14:24,56306ffa9c
s7v8p19h20l09s5s7v8umptkiv308igf,10004682,Callum,,5,5,3,N/a,completed,03/01/2023 09:52,,03/01/2023 09:55,56306ffa9c
